Attribute,Count,Percentage
,,
Backgrounds,,
AOL,6,0.6000
Background%AI,1,0.1000
CA automata,3,0.3000
Chicago Mentioned,9,0.9000
Da dog,7,0.7000
Degen Golden Ticket,4,0.4000
EggHole,8,0.8000
Farcats,2,0.2000
Guitar Frog,7,0.7000
Lenny,6,0.6000
SuperAnon,7,0.7000
Yoink,10,1.0000
aethernet_mountain,3,0.3000
aint much,7,0.7000
airdrop season 16,3,0.3000
all your base,7,0.7000
arches,10,1.0000
art,10,1.0000
backOver,6,0.6000
baseNoise,9,0.9000
blonde,8,0.8000
blurred_aethernet_mountain,9,0.9000
blurred_cosmic_headphones,8,0.8000
blurred_energy_zora,9,0.9000
blurred_farcaster_sun,10,1.0000
blurred_higher_arrow,8,0.8000
blurred_higher_highway,9,0.9000
blurred_higher_scanner,4,0.4000
blurred_sunset_horse,7,0.7000
brick,9,0.9000
casinocry,4,0.4000
castFrom,9,0.9000
castNotFound,12,1.2000
choo choo,7,0.7000
cigNewt,9,0.9000
clank and bank,11,1.1000
cn portal,3,0.3000
compass,11,1.1000
cosmic_headphones,2,0.2000
costco,7,0.7000
crap,7,0.7000
cruising horse,9,0.9000
dat boi,11,1.1000
ddonChart,6,0.6000
dead phone,9,0.9000
degenCookie2,10,1.0000
degenCookies,8,0.8000
degenSeller,5,0.5000
degen_farcat,7,0.7000
destroyer,7,0.7000
dildo on the chart,9,0.9000
doot doot,4,0.4000
duality of higher,10,1.0000
dune DAU,10,1.0000
dune horse higherr,4,0.4000
energy_zorb,10,1.0000
eth bull tile,11,1.1000
exeggcute,8,0.8000
eyeBurn,4,0.4000
fabrics,7,0.7000
farcaster brain,6,0.6000
farcasterOG,4,0.4000
farcaster_sun,3,0.3000
farcats2,9,0.9000
farcatsPainting,9,0.9000
fartoon_network,6,0.6000
fat horse,4,0.4000
fc inside,6,0.6000
gm,5,0.5000
gmfc,6,0.6000
gmgm,7,0.7000
goFast,4,0.4000
goat,6,0.6000
gold check,8,0.8000
gotem gotem,3,0.3000
harambe,10,1.0000
high bird,10,1.0000
highe r horse,6,0.6000
higher_arrows,9,0.9000
higher_highway,4,0.4000
higher_scanner,6,0.6000
higherrari,6,0.6000
higherverse,6,0.6000
hopium,6,0.6000
horse arch,10,1.0000
horse download,4,0.4000
hypergraph,11,1.1000
keepDigging,4,0.4000
kittenance,10,1.0000
lambo,4,0.4000
lands,7,0.7000
low effort reply,12,1.2000
mapps,10,1.0000
mcdonald horse,4,0.4000
middlefingergorilla,11,1.1000
milarch,4,0.4000
mole,3,0.3000
moneyCallin,5,0.5000
mox,4,0.4000
must clank,9,0.9000
no dollars,8,0.8000
no ket,6,0.6000
noiseBrat,8,0.8000
none tile,2,0.2000
nothing,6,0.6000
okayComputer,7,0.7000
onchain pills,7,0.7000
paints,6,0.6000
peBear,6,0.6000
pebo,3,0.3000
pepaChops,8,0.8000
pepe halo,3,0.3000
pepe time,9,0.9000
pepridge,8,0.8000
president higherr,9,0.9000
proNopro,7,0.7000
prode,7,0.7000
prolet,6,0.6000
rank69,9,0.9000
red border,5,0.5000
runner white horse,6,0.6000
seahorses,8,0.8000
seedbucks,12,1.2000
sellLow,8,0.8000
severed,9,0.9000
shek,6,0.6000
shoe run,8,0.8000
sonichu,5,0.5000
sunset_horse,7,0.7000
the dog wrote the ticker,12,1.2000
this is what success looks like,6,0.6000
this must be the work,5,0.5000
toespacer,7,0.7000
trade pit,7,0.7000
tysonButt,4,0.4000
uSure,4,0.4000
w95 soda,6,0.6000
warpGift,8,0.8000
warpcast reaction,5,0.5000
wc fc wc,7,0.7000
what the hell,8,0.8000
white horse herd,9,0.9000
within,4,0.4000
yon,7,0.7000
zorb,4,0.4000
,,
Body.skin.,,
Alien,3,0.3000
Aura,5,0.5000
Base Ghost,8,0.8000
Black,150,15.0000
Black 2,130,13.0000
Degen Ghost,6,0.6000
Elephant,9,0.9000
Ghost,1,0.1000
Green,8,0.8000
Higherr Ghost,2,0.2000
Oni Light,14,1.4000
Pink,125,12.5000
Pixels,12,1.2000
Purple,43,4.3000
Purple Aura,3,0.3000
Red Aura,4,0.4000
Reptilian,18,1.8000
Stripe,10,1.0000
Stripe Aura,3,0.3000
Tan,130,13.0000
Tan 2,148,14.8000
Vanta,5,0.5000
Vanta Aura,4,0.4000
White,141,14.1000
Zombie,17,1.7000
Zombie Aura,1,0.1000
,,
